female,day,line,offspring,treatment,pop,obs
125,4,M395,46,single,iv,O1
158,4,M239,52,rival,iv,O2
149,4,M395,53,single,iv,O3
197,4,M395,58,single,iv,O4
173,4,M395,59,single,iv,O5
134,4,M239,67,rival,iv,O6
169,4,M239,67,single,iv,O7
211,4,M596,67,single,iv,O8
165,4,M703,69,single,iv,O9
146,4,M239,73,rival,iv,O10
189,4,M703,73,single,iv,O11
129,4,M703,74,single,iv,O12
176,4,M596,74,rival,iv,O13
137,4,M395,76,single,iv,O14
152,4,M596,76,rival,iv,O15
237,4,M703,78,single,iv,O16
144,4,M900,79,rival,iv,O17
178,4,M703,82,rival,iv,O18
163,4,M596,83,single,iv,O19
225,4,M703,83,single,iv,O20
128,4,M596,84,rival,iv,O21
131,4,M900,84,single,iv,O22
239,4,M900,84,single,iv,O23
193,4,M239,86,single,iv,O24
209,4,M395,86,single,iv,O25
139,4,M596,87,single,iv,O26
155,4,M900,87,single,iv,O27
194,4,M239,87,rival,iv,O28
201,4,M703,87,single,iv,O29
133,4,M239,88,single,iv,O30
167,4,M900,88,single,iv,O31
229,4,M239,88,single,iv,O32
213,4,M703,89,single,iv,O33
154,4,M703,90,rival,iv,O34
156,4,M900,90,rival,iv,O35
153,4,M703,91,single,iv,O36
195,4,M315,91,single,iv,O37
145,4,M239,92,single,iv,O38
124,4,M315,93,rival,iv,O39
185,4,M395,93,single,iv,O40
192,4,M900,93,rival,iv,O41
219,4,M315,93,single,iv,O42
206,4,M239,94,rival,iv,O43
218,4,M239,94,rival,iv,O44
233,4,M395,94,single,iv,O45
150,4,M395,95,rival,iv,O46
164,4,M596,96,rival,iv,O47
186,4,M395,96,rival,iv,O48
187,4,M596,96,single,iv,O49
216,4,M900,96,rival,iv,O50
226,4,M703,96,rival,iv,O51
179,4,M900,97,single,iv,O52
217,4,M239,97,single,iv,O53
196,4,M315,98,rival,iv,O54
221,4,M395,98,single,iv,O55
223,4,M596,98,single,iv,O56
230,4,M239,98,rival,iv,O57
166,4,M703,100,rival,iv,O58
191,4,M900,100,single,iv,O59
210,4,M395,100,rival,iv,O60
215,4,M900,100,single,iv,O61
121,4,M239,101,single,iv,O62
143,4,M900,101,single,iv,O63
151,4,M596,101,single,iv,O64
204,4,M900,101,rival,iv,O65
212,4,M596,101,rival,iv,O66
222,4,M395,101,rival,iv,O67
240,4,M900,101,rival,iv,O68
130,4,M703,102,rival,iv,O69
200,4,M596,102,rival,iv,O70
182,4,M239,103,rival,iv,O71
175,4,M596,104,single,iv,O72
138,4,M395,105,rival,iv,O73
140,4,M596,105,rival,iv,O74
208,4,M315,105,rival,iv,O75
236,4,M596,106,rival,iv,O76
132,4,M900,107,rival,iv,O77
136,4,M315,108,rival,iv,O78
168,4,M900,108,rival,iv,O79
227,4,M900,108,single,iv,O80
162,4,M395,109,rival,iv,O81
181,4,M239,109,single,iv,O82
199,4,M596,109,single,iv,O83
147,4,M315,110,single,iv,O84
172,4,M315,110,rival,iv,O85
228,4,M900,110,rival,iv,O86
177,4,M703,111,single,iv,O87
238,4,M703,111,rival,iv,O88
148,4,M315,112,rival,iv,O89
171,4,M315,112,single,iv,O90
174,4,M395,112,rival,iv,O91
180,4,M900,112,rival,iv,O92
122,4,M239,113,rival,iv,O93
160,4,M315,113,rival,iv,O94
224,4,M596,115,rival,iv,O95
